yi'ge 一个
bi'zhi'xia'zai 壁纸下载
man'de'la 曼德拉
tou'wen'zi 头文字
da'mi'shu 大秘书
ri'ben'dong'man 日本动漫
meng'mei 梦寐
nan'da'men 南大门
jiu'quan 九泉
ming'bai'le 明白了
gang'wang 钢网
qiu'mo 秋末
long'bai'qiu 龙柏球
an'zhi 暗指
xiao'hong'chen 笑红尘
ao'gu'si 奥古斯
chou'shui'ma'tong 抽水马桶
cheng'yuan'shu 成员数
ren'cai'xin'xi'wang 人才信息网
ming'ren'lu 名人录
lin'bang 邻邦
zhu'zuo'zhe 著作者
fan'ying'le 反映了
huang'ting'jian 黄庭坚
ai'mei'li 爱美丽
shun'chan 顺产
su'liao'shi'chang 塑料市场
shi'shi'ban 史诗般
yi'yan'tang 一言堂
wu'guan 五关
jia'suo'wang 加锁王
yin'xing'zhi'yuan 银行职员
peng'hua'shi'pin 膨化食品
lei'feng'shi'xing 类风湿性
mei'qi'guan 煤气罐
yu'li 雨里
jun'yong'fei'ji 军用飞机
ti'cai'wang 体彩网
ru'chou'wei'gan 乳臭未干
bao'min 暴民
wu'li'he 五里河
na'qie 纳妾
chou'zi'wei 愁滋味
jin'yi'ci 近义词
qing'xia 青霞
kai'zhan'le 开展了
yan'gang 烟缸
yuan'chang 圆场
zheng'chu 整除
kun'zha'ji 捆扎机
jiu'di'qu'cai 就地取材
chou'jiao 丑角
geng'jia'shu'shi 更加舒适
zhong'guo'nian 中国年
zhao'ling 诏令
ji'guan'zuo'feng'jian'she 机关作风建设
li'jing'pan'dao 离经叛道
quan'shu 权术
gu'mu'pai 古墓派
shou'piao'dian 售票点
zu'qiu'shi'jie 足球世界
gao'bie'yi'shi 告别仪式
huang'ji'guang 黄继光
ka'zi 卡子
jiao'yu'zhan 教育展
ji'suan'ji'ji'chu'zhi'shi 计算机基础知识
xun'hua'wen'liu 寻花问柳
qi'che'ku 汽车库
zheng'zhi'xue'yuan 政治学院
zhong'yin 重印
pa'xiu 怕羞
tan'shen 探身
zhi'li 指力
di'liu'bu 第六步
guo'quan 国权
bo'fang'an'niu 播放按钮
tao'jin'zhe 淘金者
mi'xue'er 蜜雪儿
sou'hu 搜虎
zai'tong'deng'tiao'jian'xia 在同等条件下
nei'hua'da 内华达
luo'xuan'zhuang 螺旋状
yun'liang 运粮
da'tong 大桶
ba'ba 叭叭
zai'xue'xiao 在学校
fang'huo'an'quan 防火安全
rong'ji'xing 溶剂型
shan'jing 山径
bai'jing 白鲸
lian'zi 练字
hua'yan'jing 华严经
gu'dai'han'yu 古代汉语
wei'dian'zi'ji'shu 微电子技术
yu'mi'mian 玉米面
shan'xi'da'xue 山西大学
zheng'di 政敌
jiu'tong 酒桶
gong'qing 恭请
ping'ping'guan'guan 瓶瓶罐罐
nei'meng'gu'da'xue 内蒙古大学
guang'zhou'yi 广州一
chuang'bian 创编
shuang'xing'lian 双性恋
da'zhi 打制
ru'zi 孺子
mo'hei 墨黑
qi'bao 起爆
bian'ruo 变弱
bai'miao 白描
hun'yin'wen'ti 婚姻问题
di'shi'qi'jie 第十七届
tao'rao 讨饶
guo'jiu 国舅
fu'xian 复线
jin'fang 禁放
xiang'an 香案
yi'tong 亿通
shi'ji'gong'yuan 世纪公园
fan'lv 泛绿
jia'da'zhi'fa 加大执法
chui'shi 炊事
bo'hao'qi 拨号器
fang'zheng'ji'tuan 方正集团
xin'shi'dian 新视点
zong'he 总合
yue'ran'zhi'shang 跃然纸上
he'tu 河图
cai'tao 彩陶
ji'zhou'dao 济州岛
yang'quan 羊圈
zhen'jin'bai'yin 真金白银
zhang'gu 掌故
gong'shui'xi'tong 供水系统
zi'ding'yi'lian'jie 自定义链接
xiao'fei'ji 小飞机
wen'ju 文句
cang'zu 仓卒
yuan'bin 元斌
fu'zhu 腐竹
ren'yuan'zi'ge'kao'shi 人员资格考试
han'shan'si 寒山寺
chu'lu'feng'mang 初露锋芒
can'jiang 参将
sou'suo'yin'qing'pai'ming 搜索引擎排名
yu'ping 玉瓶
xian'tan 险滩
shui'sheng'zhi'wu 水生植物
zi'shan'chun 紫杉醇
di'yi'xian'chang 第一现场
di're'liang 低热量
leng'quan 冷泉
fen'tuan'wei 分团委
xun'xu 循序
nong'chao'er 弄潮儿
ku'ding'cha 苦丁茶
er'dai'zheng 二代证
liu'suan'yan 硫酸盐
mao'yi'bao'hu'zhu'yi 贸易保护主义
wen'si'dun 温斯顿
hong'shuang'xi 红双喜
ka'la 喀喇
bu'liu'xing 不流行
zhe'jiang'yi'dong 浙江移动
ge'ji 歌集
di'xia'gong'cheng 地下工程
qing'chun'lu 庆春路
long'pan 龙蟠
ben'ti'lun 本体论
diao'min 刁民
dai'dao 代祷
kai'cha 开叉
zhuang'ding'ji 装订机
zi'ji'xiang'zuo 自己想做
shan'kou'zu 山口组
zhu'ci 助词
lu'neng'dui 鲁能队
fu'shou'shang 扶手上
yi'fu'duo'qi 一夫多妻
jie'hun'ji'nian'ri 结婚纪念日
nan'ren'zhuang 男人装
fan'yi'wang 翻译网
gu'han'yu 古汉语
hao'tong'a 好痛啊
zi'li 自利
cheng'shi'yuan'lin 城市园林
dian'rong'shi 电容式
ke'long'ban 克隆版
xi'gao 锡膏
kong'wu 空屋
hu'li'chan'pin 护理产品
cai'zi'you 菜籽油
zu'he'zhuang 组合装
ling'ren'yu'kuai 令人愉快
he'xi'zou'lang 河西走廊
wang'fei 王非
man'zhan 漫展
zhen'zhi'bu 针织布
fen'hong'nv'lang 粉红女郎
si'qu'che 四驱车
xiao'ban 小板
shou'xie'ban 手写板
hua'ying 华英
yao'xie 妖邪
wen'yi'gong'zuo'zhe 文艺工作者
bo'yi'lun 博弈论
gong'ye'jie 工业界
bi'ye'wen'ping 毕业文凭
kan'de'ren 看得人
lv'se'ao'yun 绿色奥运
hai'bo 海博
ru'ya 乳牙
xiao'suan'pan 小算盘
miu'si 缪斯
qing'fei 清肺
wo'gai'zen'yang 我该怎样
cai'hua'zei 采花贼
gui'yan'kuang'dao 鬼眼狂刀
huo'chu 豁出
mei'yao 没药
deng'ya'ping 邓亚萍
lian'xi 联席
guang'ban 光斑
wo'guo'xing'fa 我国刑法
ju'she 剧社
jie'she 结舌
er'ma 二马
jiu'shi 酒食
zui'xin'zhao'pian 最新照片
cheng'shi'she'ji 城市设计
mei'yi'zhi'ji 酶抑制剂
jia'le 佳乐
lv'su'ban 铝塑板
dang'tu'qiang 挡土墙
fei'hua 飞华
rao'liang 绕梁
zhao'pai 照排
ge'gong'song'de 歌功颂德
bing'jia'bi'zheng'zhi'di 兵家必争之地
huang'gong'nei 皇宫内
xin'cai'fu 新财富
jin'lie 禁猎
zhui'nv 追女
ting'zhong 庭中
gao'shi 锆石
hu'ge 虎哥
zhuang'tan 装弹
jiang'bing'kun 江丙坤
zhuang'ji'tui'jian 装机推荐
shen'kong 深恐
zhong'dian'gao'xiao 重点高校
chun'zhen'ban 纯真版
da'gui 打鬼
jiang'cai 将才
zong'jing'li'ban'gong'shi 总经理办公室
jin'sheng 金生
hui'yin'bu 会阴部
dang'wei'ban'gong'shi 党委办公室
he'qiang'shi'tan 荷枪实弹
nv'mo 女魔
xiao'bai'ke 小百科
jie'du'fei 借读费
yi'guo'zhou 一锅粥
shui'fu 税赋
shuo'shi'zai'hua 说实在话
nong'ye'ke'yan 农业科研
jiao'xi 教习
guo'pan 果盘
dao'wei'kou 倒胃口
bie'kan'le 别看了
dian'zi'pan 电子盘
shi'kuai 市侩
bing'du'you 病毒疣
ya'ya 哑哑
zui'xin'bu'ding 最新补丁
zhuang'feng'mai'sha 装疯卖傻
zhu'xi'ling 主席令
yu'du 鱼肚
shen'lai'zhi'bi 神来之笔
ya'ge'bu 雅各布
xue'xiao'ban'jian'shao 血小板减少
dang'yuan'da'hui 党员大会
shu'qing'shi 抒情诗
jing'cai'hui'fang 精彩回放
kai'xin'ba 开心吧
tuan'qu'wei 团区委
cui'lei'tan 催泪弹
liu'hua 刘华
xi'mu'gong'ban 细木工板
zuo'fang'shi 作坊式
shou'zu 收租
cheng'po 撑破
zhun'ru'tiao'jian 准入条件
jian'feng'shi'ke 尖峰时刻
xing'xiang 形相
jie'diao 解调
wu'ji'ming'tou'piao 无记名投票
lun'xun 轮训
guang'zhou'bai'yun'ji'chang 广州白云机场
mei'ri'dian'xun 每日电讯
du'li'shi 独立式
ka'sa 卡萨
shang'chang'shi'jian 上场时间
kai'ba 开拔
ren'lang 人狼
bo'dan 波胆
chu'deng'jiao'yu 初等教育
chuan'huo 船货
hua'jia'zi 花架子
da'qi 大器
shen'hua'ban 神话般
gong'ju'wu 共聚物
lu'kao 路考
ai'qing 艾青
xiao'fang'shuan 消防栓
gang'bi'zi'yong 刚愎自用
shen'jing'gong'neng 神经功能
zha'gun 轧辊
liu'shui'hao 流水号
hun'bu'fu'ti 魂不附体
zong'mao 鬃毛
jian'po'lan 捡破烂
ping'yue 评阅
tian'zhi'lian'yu 天之炼狱
na'duo 纳多
huan'nan'yu'gong 患难与共
ni'tu'li 泥土里
xian'mi 籼米
liu'xue'hui'guo 留学回国
yan'zi 腌渍
wu'chan'jie'ji'ge'ming'jia 无产阶级革命家
liu'gou 遛狗
sheng'wei 升位
da'bu'liu'xing 大步流星
zi'qu'qi'ru 自取其辱
huang'pao 黄袍
zha'yao'bao 炸药包
qian'zhong'du 铅中毒
tian'he'cheng 天河城
song'zhong 送终
zhu'yun 贮运
pi'yu 譬喻
sha'bao 沙暴
chao'san'mu'si 朝三暮四
ke'ji'gan'bu 科级干部
xian'yan'sui'yu 闲言碎语
feng'tun 丰臀
you'lei 油类
zhong'shuo 众说
dian'gao 垫高
you'liang'xia'zi 有两下子
sheng'ming'zhong'zui'zhong'yao 生命中最重要
qiang'dian 强电
kua'nian'du 跨年度
shao'hua'qian 少花钱
nan'jie'nan'fen 难解难分
san'yan 三言
nv'hong 女红
hao'yang 好痒
she'xia 舍下
cai'kuo 彩扩
shi'da'bao'li'xing'ye 十大暴利行业
hong'liu 红柳
bai'lan'du 白兰度
jue'jin'dui 掘金队
mou'shi 某时
zhe'jia'huo 这家伙
xi'shi'ning'ren 息事宁人
yi'qi'zhi 一妻制
qing'shi 清史
han'zheng'jie 汉正街
sheng'xun'tai 声讯台
yi'fu 姨夫
de'sheng 德生
pan'yue 潘岳
che'fang 车房
bu'xiao'shuo 不消说
jie'kou 截口
gao'xiao 高小
tang'tang 汤汤
fa'lv'chang'shi 法律常识
rou'shi'pin 肉食品
xia'jiao'liao 下脚料
ke'ben 刻本
xin'bao 心包
cha'jian 茶碱
shen'zhen'ban'shi'chu 深圳办事处
yi'xing'he'zu 异性合租
can'bing 残兵
you'jian 油煎
ba'shi'ba'zhang 八十八章
biao'zhi'wu 标志物
hao'hua'jiu'dian 豪华酒店
huang'hua'gang 黄花岗
yao'ni'guan 要你管
zheng'shi'tu 正试图
ji'xu 亟须
gao'xiao'jie 高小姐
han'qiao'sheng 韩乔生
pu'di 扑地
jia'xin 嘉欣
wei'xi 维希
qu'ni'ma 去你妈
zhong'wen'bao 中文包
da'chu'feng'tou 大出风头
yang'ma 养马
jing'bao 晶报
kuang'tu 框图
zheng'shou'ge'ren'suo'de'shui 征收个人所得税
kou'bai 叩拜
shao'nv'de'xin 少女的心
gang'ju 港剧
zhong'wai'yun 中外运
xian'jian'qi 仙剑奇
bu'xue'xi 不学习
ye'zi'zhu 叶子猪
chun'jie'xing 纯洁性
shuai'dong 甩动
zi'dong'gen'zong 自动跟踪
wu'xue 无雪
piao'quan 票券
fu'you 蜉蝣
chang'jiang'kou 长江口
wu'guo 误国
pian'xian 翩跹
xian'yin'fa 现印发
ji'huai 极坏
liu'pai 流拍
xi'li'hua'la 稀里哗啦
ju'min'chu'xu 居民储蓄
te'li 特立
zen'me'yi'hui'shi 怎么一回事
dong'hai'you'qi 东海油气
shu'ma'dan'fan'xiang'ji 数码单反相机
er'yuan'jie'gou 二元结构
wen'li'ke 文理科
lin'sheng 林生
ban'bu'cheng 办不成
san'gu 三姑
fan'chong 反冲
tong'jing 通经
lang'ge 朗格
si'po'lian 撕破脸
si'di'wen 斯蒂文
gong'shen 公审
xian'cai 苋菜
li'xin'shi 离心式
fan'guang'deng 泛光灯
gui'bin'shi 贵宾室
xian'ren'qiu 仙人球
nong'fu'chan'pin'jia'gong 农副产品加工
yu'yin'shi 语音室
wu'you 乌有
fu'mu'guan 父母官
xi'mian'ru 洗面乳
wai'lai'zhe 外来者
sheng'yin'si'ya 声音嘶哑
ding'gang 定岗
zhong'guo'gong'nong'hong'jun 中国工农红军
gan'jiang 赣江
fang'hei 防黑
jue'ming'zi 决明子
fu'jia'ma 附加码
zhong'chao'bei 中超杯
qing'chang 情长
zou'xue 走穴
ao'shen 奥神
jiu'jiang 旧将
ling'bian 灵便
zuo'you'kai'gong 左右开弓
zuo'jian 作践
an'shui 氨水
deng'xiao'ping'li'lun'gai'lun 邓小平理论概论
zhong'bao 中宝
di'si'jun'yi'da'xue 第四军医大学
ruan'qi'dong 软启动
jie'jia 结痂
shua'qiang 刷墙
zui'miao 最妙
bi'yue'xiu'hua 闭月羞花
da'zhuan'wan 大转弯
yan'dai 烟袋
she'chu'qu 射出去
xi'guo'zao 洗过澡
liu'an'hua'ming'you'yi'cun 柳暗花明又一村
qing'wu'qi 轻武器
se'pu'fa 色谱法
bei'yuan'chun 北园春
lao'hua'jing 老花镜
tian'qian 天堑
gun'zhou 滚轴
ben'juan 本卷
sha'gou 杀狗
hong'ma 红马
ou'tu'wu 呕吐物
qu'jing 曲径
bian'jing'xian 边境线
ling'zi 绫子
yi'xi 议席
yang'hua'mei 氧化镁
zhan'xue 战靴
jiu'chang 久长
ren'zheng'zi'xun 认证咨询
jie'zhong 借重
xu'dao 絮叨
ban'dao'ti'chan'ye 半导体产业
dian'ying'piao'fang 电影票房
yun'jin 云锦
mei'guo'zuo'jia 美国作家
hei'lao'da 黑老大
mi'jian 迷奸
wai'gan 外感
xiao'hei'dian 小黑点
tong'cai 铜材
di'qi'dai 第七代
da'yong'chu 大用处
sheng'lve'hao 省略号
dan'jing 单晶
she'ju 设局
jing'fen 精粉
lao'qi 老气
she'ji'guan'li 设计管理
lei'ruo 羸弱
ang'tou 昂头
min'zu'fu'shi 民族服饰
xun'cha 巡察
nan'da'xue'sheng 男大学生
tou'guang'deng 投光灯
jing'ji'xin'xi'zhong'xin 经济信息中心
gong'yi'she'bei 工艺设备
yuan'chu 远出
shuang'guan'wang 双冠王
yan'chang'hui'ban 演唱会版
hong'wu'yue 红五月
you'cha 油茶
ni'shi'wo'xin'zhong 你是我心中
ye'mei'gui 野玫瑰
ting'jian 停建
xia'yu 下狱
li'shi'zui'gao'shui'ping 历史最高水平
jian'ma 健马
fu'dong'hui'lv 浮动汇率
yi'tuo 医托
li'huo 理货
fu'zhe'wu 附着物
bi'lei 避雷
song'zhen 松针
jian'ta 尖塔
ming'shi 明时
cha'de 查德
kao'huo 烤火
ping'jin 平津
er'shou'fang'wang 二手房网
bing'bu'xue'ren 兵不血刃
cai'ling'ye'wu 彩铃业务
kuai'jian 快剑
dian'zi'jiao'shi 电子教室
wei'wu'lun 唯物论
cai'chao 彩超
ban'shi 班师
jiao'he 胶合
xiao'yu 晓雨
qiu'qiu'ni'le 求求你了
ma'ji 马吉
pu'luo'mi'xiu'si 普罗米修斯
dao'zi 稻子
wan'cheng'hou 完成后
di'shi'si'ji 第十四集
shu'zhi'gong'yi'pin 树脂工艺品
zhi'wu'jian'yi 植物检疫
zuan'jin 攥紧
zhi'ling'xing 指令性
tai'kang'ren'shou 泰康人寿
zhong'guo'min'ge 中国民歌
mi'feng'cai'liao 密封材料
qi'er 弃儿
shan'hu'chong'wai'gua 珊瑚虫外挂
fei'pin 妃嫔
ya'qu 雅趣
ci'gen 词根
xin'te'yao 新特药
wei'chai 潍柴
jiu'ba 九八
rang'wo'xue 让我学
shi'cheng 世称
zhui'zi 锥子
pei'xun'jiang'shi 培训讲师
jiang'bi'fen'ban'ping 将比分扳平
hai'lian 海联
ji'ci 籍此
huai'zai 坏在
na'xie'yin'su 哪些因素
hui'huo 回火
ye'shi 野食
lu'xiang'ji 录象机
chuan'zhen 穿针
wai'qi 外戚
bei'zhou 北周
qian'shou'xiang 前首相
xing'cang 行藏
zai'yi'jia 在意甲
si'shi'ge 四十个
yu'lan'hua 玉兰花
dong'li'ji'xie 动力机械
san'fen 散粉
yin'chao'ji 印钞机
ban'du 伴读
xin'sheng 新胜
ming'chan 名产
po'xie 破鞋
sun'hai'pei'chang'ze'ren 损害赔偿责任
yi'wang 亿网
ben'mo 本末
shou'ji'hua'fei 手机话费
zong'shou'ru'da 总收入达
yi'ji'dai'li'shang 一级代理商
tong'lan 统揽
wang'shang'tou'gao 网上投稿
bu'bu'gao'sheng 步步高升
yu'mi'dian'fen 玉米淀粉
lao'dang'yi'zhuang 老当益壮
fa'zhan'min'ying'jing'ji 发展民营经济
sheng'wu'hua'gong 生物化工
yi'jin'hai'xiang 衣锦还乡
bu'zhang'jia 不涨价
chang'pian'ye 唱片业
tian'qi 天齐
xie'huang 蟹黄
dian'zi'qi'cai 电子器材
tian'guan 天官
qi'ren 旗人
shi'min 世民
bang'guang'ai 膀胱癌
xiang'xi'nan 向西南
qian'yan 千言
jiao'gun 胶辊
ke'ji'cheng'jiu 科技成就
shi'pin'fu'wu'qi 视频服务器
jiao'lian 脚链
zhong'duo'wan'jia 众多玩家
ji'ge'bu'zhou 几个步骤
qiu'si 秋思
xi'lu 戏路
guan'hua 观花
da'yuan'nei 大院内
can'rong 参茸
jin'qian'zhi 金钱值
shi'qie 石砌
bu'mai'zhang 不买账
yuan'lao'yuan 元老院
teng'yue 腾跃
tian'jing'chang 田径场
nei'zhi'mai'ke'feng 内置麦克风
xiong'mao 胸毛
zhang'jun 张君
yin'che'huo 因车祸
tian'peng 天棚
fei'chang 肥肠
wu'chuan 误传
jie'you'qi 节油器
ye'xia'beng 液下泵
xuan'wu'hu 玄武湖
an'ji 按季
gui'jiang 归降
mo'sang'bi'ke 莫桑比克
zong'mian'ji'yue 总面积约
gong'que 宫阙
wu'zhi'zhe 无知者
bao'wang'luo'ban 报网络版
fa'bao'fang 发包方
an'mo'yu'gang 按摩浴缸
fan'qi'dao'er'xing'zhi 反其道而行之
ri'yong'hua'gong 日用化工
bu'zhe'bei 不着北
dong'ya'yun 东亚运
ru'niu 乳牛
zhui'zhui 惴惴
han'yi 汉译
duo'ji'beng 多级泵
jing'hang'da'yun'he 京杭大运河
zhuan'lu 转炉
rong'xue 溶血
qian'long'nian'jian 乾隆年间
ze'you 择友
guan'xiang 观想
man'tang'hong 满堂红
ke'ji'cheng 科技城
ting'kan 停刊
you'xi'shou'bing 游戏手柄
ha'li 哈莉
zai'xian'yin'le'wang 在线音乐网
xiao'gu'min 小股民
shi'tai 世态
shao'shu'pai 少数派
xin'ling'shou'qiao 心灵手巧
da'lei 大雷
guan'ai 关隘
chou'xi 抽吸
zhao'wo'ba 找我吧
kui'tan 喟叹
bao'zhi 报知
zong'hao'guo 总好过
mu'yang'zuo 牧羊座
ye'mian'nei 页面内
yong'hu'mi'ma'xiu'gai 用户密码修改
bai'ye'wang 百业网
yi'you 益友
wen'cao'sheng'quan 稳操胜券
gong'ying 公营
guo'jia'gong'shang'ju 国家工商局
zheng'ju 正剧
diao'lou 碉楼
fang'xin'gong'cheng 放心工程
dian'ci'tie 电磁铁
si'xiang'dao'de'xiu'yang 思想道德修养
zhen'zhu'bai 珍珠白
xin'ji'qi 新机器
dian'zi'chu'ban'she 电子出版社
cha'xiao 插销
jin'dai 金代
duan'yi 短衣
pi'ci'bao 匹兹堡
wu'ru 无如
zhong'qing'huo'guo 重庆火锅
da'shang'ji 大商机
jian'shen'huo'dong 健身活动
xin'bi 新币
ying'xia 赢下
nei'qian'shi 内嵌式
xiao'zhuo'zi 小桌子
xin'chi'shen'wang 心驰神往
guo'zu'bu'qian 裹足不前
gu'yi'sha'ren 故意杀人
zui'zhi'guan 最直观
liang'ren'yin 两人因
huo'dong'ri 活动日
zhang'chen 张晨
xing'shi'dong'zhong 兴师动众
shi'ti'shu 实体书
ba'chang 靶场
zhan'fu'ying 战俘营
ba'shan'she'shui 跋山涉水
luo'san 罗三
jin'zhi 金质
tai'ji'tu 太极图
mai'fang'zi 卖房子
jiao'yu'du'dao 教育督导
xi'zhi'mo'jie 细枝末节
jun'yi'zhi 军医治
xiu'bo'hui 休博会
yi'mei 易美
di'mai'deng 地埋灯
niu'jin'bu 牛津布
kan'de'qing 看得清
zui'you'qian'tu 最有前途
yu'chi 愚痴
shui'wu'suo 税务所
an'ji'la 安吉拉
ken'de'ji 肯德鸡
fen'xi'ping'yi'jie'duan'gong'zuo 分析评议阶段工作
hou'xuan'ren'ming'dan 候选人名单
chuan'di 船底
ping'wen 平纹
bei'jing'ren'cai 北京人才
zhan'zhu'jiao 站住脚
guo'jia'yan'cao 国家烟草
ban'gua'che 半挂车
shao'dong 少东
guang'jie'du 光洁度
xing'zheng'shen'pi'xiang'mu 行政审批项目
huang'su 黄素
wei'guang'da 为广大
gao'cha 高差
bing'xi'xian'an 丙烯酰胺
kuai'ke 快客
fu'li 复利
shi'jie'yi'liu'da'xue 世界一流大学
li'ci'lian 利兹联
fen'mu'li 坟墓里
han'gong 汉宫
bu'qu'fu 不屈服
xing'shi'quan'li 行使权利
gen'ben'tu'jing 根本途径
bai'ren 白刃
qi'che'bu'jian 汽车部件
zao'jiao'wang 早教网
qi'shu 奇术
bao'xian'wang 保险网
xian'jin'ren'wu 先进人物
jin'le 劲乐
xiao'pao'ji 消泡剂
er'shi'nian'dai 二十年代
ta'er'niu 塔尔牛
di'ba'bu 第八部
yan'se 艳色
sha'keng 沙坑
qi'cai'dui 奇才队
shou'dou 手抖
tai'bao 太饱
xi'ye'na 西耶那
you'li'you'ju 有理有据
yu'gong'yi'shan 愚公移山
wu'shi'dao 吴世道
ren'xing'hua'guan'li 人性化管理
tian'xiong 天雄
tian'tou 田头
di'qi'hui 第七回
chen'jian 晨间
chen'si'xuan 陈思璇
biao'zhun'hua'jian'she 标准化建设
wu'jie'zhi 无节制
zhang'qi 瘴气
chan'pin'lei'xing 产品类型
ke'ban 科班
fu'zhen 复诊
zhua'gui 抓轨
kun'fa 困乏
pa'shei 怕谁
can'mou'bu 参谋部
yun'nu 愠怒
xue'jun 学军
cai'zheng'suo 财政所
bao'gao'ren 报告人
shou'ji'ling'sheng'mian'fei'xia'zai 手机铃声免费下载
hua'jiang 花匠
hai'su 还俗
da'bei 大北
feng'zhi'she'bei 缝制设备
yang'pu 洋浦
ju'ben 聚苯
ge'lai'mei'jiang 格莱美奖
yao'liu 药流
di'ni 迪尼
di'si'xiang 第四项
xi'mu 细目
zhi'fa 知法
zhi'zhu 踯躅
you'jiang 右江
fu'jian'shi'fan'da'xue 福建师范大学
guo'nei'hang'xian 国内航线
zhuang'long'zuo'ya 装聋作哑
zhe'ji'jia 这几家
pei'en 佩恩
diao'zhuang'sheng 吊装绳
zi'fei'chu'guo 自费出国
fu'weng 负翁
he'gou 河沟
lun'dun'da'xue 伦敦大学
gang'yin 钢印
tou'jiao 头角
ba'huo 八祸
jin'nian'dong'tian 今年冬天
chen'dian'wu 沉淀物
xia'pin 下品
shi'hu 石斛
she'hui'di'ceng 社会底层
she'du 蛇毒
guo'jia'di'zhi 国家地质
pu'da 扑打
zou'shi'yu'ce 走势预测
fu'jian'cha'chang 副检察长
san'bian 三变
wu'xian'dian'bo 无线电波
chun'yin'shi'pin 纯银饰品
tiao'tuo'yi'wu 跳脱衣舞
zhan'zhu 占住
shou'chu 收储
gan'ba'ba 干巴巴
zai'bie'kang'qiao 再别康桥
deng'bi 等比
xiong'pai 胸牌
zhi'xing'nan 执行难
jiang'xing'quan 蒋兴权
zi'sha'shi'jian 自杀事件
zi'chan'tou'zi 资产投资
fang'wei'biao'qian 防伪标签
deng'zhan 灯盏
chu'zu'lv 出租率
yu'qiao 渔樵
niu'nan 牛腩
lao'dong'ji'lv 劳动纪律
zao'xing'yi'shu 造型艺术
shi'shi 失势
xiang'zhong 乡中
diao'chan 貂婵
cheng'xu'bao 程序包
shen'she'tou 伸舌头
zui'gao'ji'bie 最高级别
zuan'zhu 攥住
gan'shi'ye 干事业
xiao'zi'chan'jie'ji 小资产阶级
qu'gao'he'gua 曲高和寡
zhi'xiao'fa 直销法
hua'shi 滑石
gu'an'suan 谷氨酸
hua'qing'chi 华清池
bei'jing'lian'tong 北京联通
tong'sou 童叟
jing'mao'da'xue 经贸大学
si'zhuang 丝状
lian'xu'ji 连续技
tu'dou'wang 土豆网
fen'san'ji 分散剂
qi'shi'qi 七十七
tong'ku 恸哭
jian'zei 奸贼
zu'qiu'sai'shi 足球赛事
xiao'zhi'yi'li 晓之以理
kuang'quan'shui'ping 矿泉水瓶
kong'kuo 空阔
di'qi'shi'jiu 第七十九
hao'hao'xian'sheng 好好先生
da'tiao'shui 大跳水
jian'cha'kan 见查看
re'shi'sheng'fei 惹事生非
bai'du'wang 百度网
ji'shi'wei 几十位
di'ting 谛听
wang'yue 王曰
shu'qi'she'hui'shi'jian 暑期社会实践
lv'hou 吕后
da'qun'jia 打群架
qi'ming'jiao 起名叫
tiao'hui 跳回
kong'xin'zhuan 空心砖
zhi'li'shi 直立式
bei'tong 北通
ran'qi'gong'si 燃气公司
kuai'yin'dian 快印店
tuo'shou 托收
xian'ju 闲居
xiao'liang 小梁
tu'wen'zi'liao 图文资料
cao'lv 草绿
pei'dian'gui 配电柜
chu'mei 触媒
li'yuan'chao 李源潮
ta'diao 塔吊
da'xi'yuan 大戏院
fen'lie'huo'dong 分裂活动
tai'zi'fei 太子妃
xue'sheng'ming'dan 学生名单
fang'gen 方根
duan'kou 断口
yue'gang'ao 粤港澳
chou'shui'gou 臭水沟
ji'jiang'ying'lai 即将迎来
shou'po 首破
bi'huo 避祸
dai'cheng 代称
gao'cai 高才
da'xi'nan 大西南
shen'zhou 神洲
lv'zhi 滤纸
jing'ying'si'lu 经营思路
mian'jun 面军
ji'zhang'shi 记账式
wei'gui'zhe 违规者
yue'xiang'yue'qi 越想越气
ban'mo 瓣膜
liang'ri'you 两日游
xia'pi 虾皮
zhi'wang 织网
chuan'bo'su'du 传播速度
dai'bu'ling 逮捕令
tan'bing 探病
bing'cheng'zi 冰橙子
fu'fen 福份
fen'xi'shi'cheng 分析师称
dai'kuan'e 贷款额
guan'hua 官话
ma'hou 马后
cai'se'da'yin 彩色打印
she'hui'ming'liu 社会名流
fang'ai 防碍
ban'feng 班风
tie'jin'gang 铁金刚
xin'xi'hua'cheng'du 信息化程度
bi'zao 必遭
tou'lan'ming'zhong'lv 投篮命中率
cai'ming 蔡明
xuan'ze'qi 选择器
zhan'lve'chu'bei 战略储备
xiang'kai'dian 想开点
ji'xing'qi 急性期
di'shi'er'juan 第十二卷
ju'shu 巨树
tiao'ma'ji 条码机
nv'ying'xing 女影星
xing'bian'tai 性变态
qi'yi'xin 起疑心
da'jian'shi 大剑师
hua'diao 划掉
zong'hou'qin'bu 总后勤部
zai'dai'kuan 再贷款
yu'yan'xue'jia 语言学家
guang'ji 广记
yi'xin 异心
tong'yong'wu'ling 通用五菱
ji'nan 急难
bu'duan'kai'chuang 不断开创
tie'hao 贴好
nan'er'huan 南二环
sheng'dan'li'pin 圣诞礼品
she'wen 舌吻
si'wei'te 斯威特
long'hu'men 龙虎门
ke'te 柯特
xiao'ji'liang 小剂量
long'er 聋儿
she'hui'zhu'yi'gai'zao 社会主义改造
dian'yun 电晕
jiu'shi'er'zhang 九十二章
wai'dan'wei 外单位
bai'yu'tang 白玉堂
san'ling'zhong'gong 三菱重工
nan'fang'cheng 南方城
ji'li 基利
fen'za 纷杂
